Complexity,Loss,Equation
1,6.6047265e-5,"-0.00020689114"
3,5.5049913e-5,"coeff(-4.0511813, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,5.4953565e-5,"(coeff(-4.0627823, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) - 0.0003107977)"
6,4.9338913e-5,"(coeff(-0.059064746, DELTA_LOG_ICE_BRENT) - coeff(3.8992867, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
7,4.9325485e-5,"((coeff(-0.058873422, DELTA_LOG_ICE_BRENT) - coeff(3.8992867, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + -0.00011593426)"
9,4.80513e-5,"((coeff(-0.057766046, DELTA_LOG_ICE_BRENT) - coeff(-0.13836224, LAGGED_DELTA_LOG_NB_KKI)) - coeff(3.6673136, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
10,4.7881487e-5,"((coeff(-0.059663713, DELTA_LOG_ICE_BRENT) - coeff(-0.048194367, -0.059663713 - LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)) + coeff(-3.7414792, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
11,4.7872778e-5,"(((coeff(-0.06179058, DELTA_LOG_ICE_BRENT) + -0.0030226314) - coeff(3.8435915, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.04998502))"
12,4.787035e-5,"((-0.0030115538 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.7614834)) + (coeff(-0.061666224, DELTA_LOG_ICE_BRENT) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.04973538)))"
13,4.709801e-5,"(((coeff(-0.06179058, DELTA_LOG_ICE_BRENT) + -0.0030226314) - coeff(3.672318, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (0.04998502 + LAGGED_DELTA_LOG_NB_KKI)))"
14,4.6134373e-5,"(((coeff(-0.058026742, DELTA_LOG_ICE_BRENT) + -0.003407038) - coeff(3.6673384, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + (coeff(0.1648446, LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.05700117)))"
16,4.6104677e-5,"(((coeff(-0.058026742, DELTA_LOG_ICE_BRENT) + -0.003407038) - coeff(3.679478, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + (coeff(0.1648446, LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M + 0.05700117))))"
17,4.604156e-5,"(((coeff(-0.057644825, DELTA_LOG_ICE_BRENT) + -0.0035227065) - coeff(3.6673136, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + (((LAGGED_DELTA_LOG_NB_KKI + 0.16234982) * LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.057802785)))"
18,4.6041518e-5,"(((coeff(-0.05770125, DELTA_LOG_ICE_BRENT) - 0.0035438354) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.672318)) + (((LAGGED_DELTA_LOG_NB_KKI + 0.16224536) * LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.058105774)))"
19,4.6012778e-5,"(((coeff(-0.057644825, DELTA_LOG_ICE_BRENT) + -0.0035227065) - coeff(3.6673136, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + (((LAGGED_DELTA_LOG_NB_KKI + 0.16234982) * LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (0.057802785 + DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))))"
20,4.5983677e-5,"(((coeff(-0.05772418, DELTA_LOG_ICE_BRENT) + -0.003514439) - coeff(3.6673133, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + ((((LAGGED_DELTA_LOG_NB_KKI + 0.17983346) * LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.057815753)) - squaresign(LAGGED_DELTA_LOG_NB_KKI)))"
21,4.598351e-5,"((((DELTA_LOG_ICE_BRENT * -0.057797458) + -0.003504984) - coeff(3.6673174, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) + ((((LAGGED_DELTA_LOG_NB_KKI + 0.17733674) * LAGGED_DELTA_LOG_NB_KKI) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * 0.057657942)) - squaresign(LAGGED_DELTA_LOG_NB_KKI)))"
